ingredient,baseline_acc,icnn_acc,diff_acc,prec_base,prec_icnn,recBase,recModel,f1Base,f1Model,f1Diff,ingred_name
280,0.9851044401,0.985047369,-5.70711106038235E-05,0,0,0,0,0,0,0,
282,0.9490354982,0.9484647871,-0.0005707111,0,0,0,0,0,0,0,
283,0.9969752311,0.99666134,-0.0003138911,0,0,0,0,0,0,0,
284,0.9709793403,0.9701518092,-0.0008275311,0,0,0,0,0,0,0,
285,0.9958052734,0.9955484534,-0.00025682,0,0,0,0,0,0,0,
286,0.99460678,0.9941787467,-0.0004280333,0,0,0,0,0,0,0,
287,0.9950062778,0.9941216756,-0.0008846022,0,0,0,0,0,0,0,
288,0.9848190846,0.9841627668,-0.0006563178,0,0,0,0,0,0,0,
289,0.9946353156,0.9944641023,-0.0001712133,0,0,0,0,0,0,0,
291,0.9961762356,0.9956911311,-0.0004851044,0,0,0,0,0,0,0,
293,0.9796256135,0.9793687935,-0.00025682,0,0,0,0,0,0,0,
297,0.9690389225,0.9688962447,-0.0001426778,0,0,0,0,0,0,0,
298,0.9944641023,0.9941787467,-0.0002853556,0,0,0,0,0,0,0,
299,0.9882433512,0.9880150668,-0.0002282844,0,0,0,0,0,0,0,
300,0.9316288095,0.9314290606,-0.0001997489,0,0,0,0,0,0,0,
301,0.9938363201,0.9938077845,-2.85355553019118E-05,0,0,0,0,0,0,0,
302,0.9968040178,0.99666134,-0.0001426778,0,0,0,0,0,0,0,
303,0.9944070312,0.9942643534,-0.0001426778,0,0,0,0,0,0,0,
304,0.9900125556,0.9898128068,-0.0001997489,0,0,0,0,0,0,0,
305,0.9943214245,0.9936365712,-0.0006848533,0,0,0,0,0,0,0,
306,0.9970608378,0.9965757334,-0.0004851044,0,0,0,0,0,0,0,
307,0.9932370734,0.9922668645,-0.0009702089,0,0,0,0,0,0,0,
308,0.9772000913,0.9768576647,-0.0003424267,0,0,0,0,0,0,0,
309,0.9962903778,0.9962618423,-2.85355553019118E-05,0,0,0,0,0,0,0,
310,0.9912966556,0.9910113001,-0.0002853556,0,0,0,0,0,0,0,
311,0.9968040178,0.99666134,-0.0001426778,0,0,0,0,0,0,0,
312,0.9892135601,0.9888425979,-0.0003709622,0,0,0,0,0,0,0,
313,0.9709793403,0.9702944869,-0.0006848533,0,0,0,0,0,0,0,
314,0.9965471978,0.9962903778,-0.00025682,0,0,0,0,0,0,0,
